routeNum,routeName,direction
1U,Pontiac - University,
1,Pontiac - Dhu Varren,From Downtown
1,Pontiac - Dhu Varren,To Downtown
2,Plymouth,From Downtown
2,Plymouth,To Downtown
3,Huron River,To Ann Arbor
3,Huron River,To Ypsilanti
4,Washtenaw,To Ann Arbor
4,Washtenaw,To Ypsilanti
5,Packard,To Ann Arbor
5,Packard,To Ypsilanti
6,Ellsworth,To Ann Arbor
6,Ellsworth,To Ypsilanti
